stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8210CO11095,110951,New Street,,52.8297293080953,-6.93094997361145,,,,
8210CO11096,110961,Hanover Road,,52.831402788289,-6.92914286697322,,,,
8210CO11098,110981,Fire Station,,52.8368675177698,-6.92317539653795,,,,
8210CO11099,110991,Green Lane,,52.8412390151113,-6.91760470744884,,,,
8210CO11100,111001,Deerpark Roundabout,,52.845026,-6.910029,,,,
8210CO11101,111011,Enterprise Business Park,,52.840432,-6.909015,,,,
8210CO11102,201041,Sandhills,,52.8396015413723,-6.90468720511796,,,,
8210CO11103,201051,Burrindale,,52.8417185632881,-6.90228857084598,,,,
8210CO11104,111041,Beechwood Park,,52.8447290479015,-6.8993178483131,,,,
8210CO11105,201061,Tinteán Coille,,52.8467534919845,-6.89567396632087,,,,
8210CO11106,201111,MSD Carlow,,52.8542540707242,-6.88461459284746,,,,
8210CO11108,111231,Tinteán Coille,,52.846704695522,-6.89525952315287,,,,
8210CO11109,111091,Beechwood Park,,52.8449237128477,-6.89898633164315,,,,
8210CO11110,111101,Burrindale,,52.8419495927723,-6.90200070569607,,,,
8210CO11111,111241,Sandhills,,52.8394110378197,-6.90742315927646,,,,
8210CO11112,111121,Enterprise Business Park,,52.840884,-6.909271,,,,
8210CO11113,111131,Deerpark Roundabout,,52.844784,-6.910183,,,,
8210CO11114,111141,Green Lane,,52.84178,-6.916849,,,,
8210CO11115,111151,Fire Station,,52.8369802982362,-6.92272733445909,,,,
8210CO11117,111171,Hanover Road,,52.8318567971016,-6.92865680006758,,,,
8210CO11118,111181,New Street,,52.8290335983512,-6.93154580133862,,,,
8210CO11119,111191,SETU Green Road,,52.825738,-6.933882,,,,
8210CO11120,111201,Bourlum Wood,,52.823007517304,-6.93610041018636,,,,
8210CO11121,111211,Carraig Abhainn,,52.825967,-6.937364,,,,
8210CO11122,111221,Rath Abhainn,,52.822572,-6.941705,,,,
8210CO11123,201011,Carlow Institute,,52.819176383642,-6.94491773727636,,,,
8210CO11125,111251,Sleaty Street,,52.8439996189565,-6.93965480353861,,,,
8210CO11126,111261,Sleaty Street,,52.840491,-6.938241,,,,
8210CO11127,113911,Maryborough Street,,52.8370852558864,-6.93836866743233,,,,
8210CO11128,111281,Carlow Castle,,52.836621,-6.935753,,,,
8210CO11129,111291,Kennedy Avenue,,52.835658,-6.931546,,,,
8210CO11132,111321,Pollerton Road,,52.836836,-6.918723,,,,
8210CO11133,111331,Saint Patrick's Avenue,,52.837255,-6.914409,,,,
8210CO11134,111341,Castlewood Gardens,,52.838683,-6.91136,,,,
8210CO11135,113921,Askea,,52.835379,-6.91079,,,,
8210CO11138,113951,Tullow Road,,52.8314644864729,-6.9073109176096,,,,
8210CO11139,111391,The Orchards,,52.8299889505304,-6.90325209027016,,,,
